127.0.0.1, 2016-01-05 10:50:35, GET, /admin/default/design/Teste, HTTP/1.1, 200, 0.123063
127.0.0.1, 2016-01-05 10:50:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000424
127.0.0.1, 2016-01-05 10:50:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000389
127.0.0.1, 2016-01-05 10:51:22, GET, /Teste/default/index, HTTP/1.1, 200, 0.325882
127.0.0.1, 2016-01-05 10:51:25, GET, /admin/default/design/Teste, HTTP/1.1, 200, 0.398395
127.0.0.1, 2016-01-05 10:51:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000784
127.0.0.1, 2016-01-05 10:51:28, GET, /admin/default/design/Teste, HTTP/1.1, 200, 0.380293
127.0.0.1, 2016-01-05 10:51:29, GET, /favicon.ico, HTTP/1.1, 400, 0.001155
127.0.0.1, 2016-01-05 10:51:36, GET, /admin/default/logout, HTTP/1.1, 303, 0.045620
127.0.0.1, 2016-01-05 10:51:36, GET, /admin/default/index, HTTP/1.1, 200, 0.043763
127.0.0.1, 2016-01-05 10:51:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000398
127.0.0.1, 2016-01-05 10:51:40, POST, /admin/default/index, HTTP/1.1, 303, 0.042384
127.0.0.1, 2016-01-05 10:51:40, GET, /admin/default/site, HTTP/1.1, 200, 0.055252
127.0.0.1, 2016-01-05 10:51:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000264
127.0.0.1, 2016-01-05 10:51:40, POST, /admin/default/check_version, HTTP/1.1, 200, 0.361899
127.0.0.1, 2016-01-05 10:51:43, GET, /Teste/default/index, HTTP/1.1, 200, 0.290469
127.0.0.1, 2016-01-05 10:51:44, GET, /admin/default/site, HTTP/1.1, 200, 0.158173
127.0.0.1, 2016-01-05 10:51:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000607
127.0.0.1, 2016-01-05 10:52:22, POST, /admin/default/site, HTTP/1.1, 200, 0.086035
127.0.0.1, 2016-01-05 10:52:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000408
127.0.0.1, 2016-01-05 10:52:31, GET, /admin/wizard/index, HTTP/1.1, 200, 0.028589
